0.0    0.0    0.0    0.0    0.0
1.0    19.653148337209398    22.862945301154266    18.048249855236964    24.4678437831267
2.0    39.306296674418796    45.72589060230853    36.09649971047393    48.9356875662534
3.0    58.95944501162819    68.5888359034628    54.14474956571089    73.40353134938009
4.0    78.61259334883759    91.45178120461706    72.19299942094786    97.8713751325068
5.0    99.83387510007498    135.04628809779967    82.22766860121263    152.65249459666202
6.0    157.06659732312346    191.41647496583812    139.89165850176616    208.59141378719542
7.0    195.20040540848132    221.6474311810392    181.97689252220238    234.87094406731813
8.0    209.7494179071152    235.0263200898451    197.11096681575026    247.66477118121003
9.0    216.37522604137754    240.95993819577947    204.08286996417658    253.25229427298044
10.0    221.43925850446954    247.3574499316377    208.4801627908855    260.31654564522177
11.0    223.93468210594196    258.4618507765561    206.6710977706349    275.72543511186313
12.0    225.15256753968123    271.89630264906106    201.78069998499132    295.26817020375097
13.0    227.11401695923215    283.78365859033096    198.77919614368275    312.1184794058804
14.0    230.70382345473465    293.3254187446959    199.39302580975402    324.6362163896765
15.0    235.49726394171333    301.5305452457277    202.48062328970616    334.54718589773483
16.0    240.5898839806834    307.13997580588267    207.31483806808373    340.4150217184823
17.0    246.4017190337163    312.71301583965874    213.2460706307451    345.86866424262996
18.0    251.58610394748638    318.9103513310018    217.92398025572868    352.5724750227595
19.0    255.33617829299246    324.91700293561075    220.5457659716833    359.70741525691994
20.0    257.90713452996494    329.24155069065506    222.23992644961984    364.9087587710002
21.0    260.2022201704443    332.49187755711307    224.05739147710995    368.63670625044745
22.0    262.7873112294709    336.38634363299946    225.98779502770662    373.18585983476373
23.0    265.61504534816675    341.65453120005157    227.5953024222244    379.6742741259939
24.0    268.4304859989949    347.7167343486579    228.78736182416347    387.3598585234894
25.0    272.69241715772137    352.869957212165    232.60364713049955    392.9587272393868
26.0    279.6478402121238    357.7478005524797    240.59786004194586    396.79778072265765
27.0    287.53850456711154    363.8901967919858    249.36265845467443    402.0660429044229
28.0    294.53348250941514    370.8023016362071    256.3990729460191    408.93671119960317
29.0    302.020116414762    378.7976665811767    263.6313413315547    417.186441664384
30.0    316.46572051598594    398.40742086682167    275.4948703405681    439.3782710422395
