        Y49	11.13150  9.33899  8.33783  7.68517  6.29017  6.26988  4.35446  4.28981  7
        Y49	 8.73277  7.03694  6.99954  5.44124  3.65754  3.65747  3.65166  3.24599  6
        Y49	13.24322 11.39531  9.06509  8.18853  6.70904  4.71287  4.67677  4.15293  6
        Y49	12.61861 11.38383 10.13822  9.23745  8.53075  7.02678  5.03142  4.95320  8
        Y49	11.51478  9.64443  8.89569  8.38225  7.84441  6.63416  4.65717  4.63393  8
        Y49	 9.05999  7.17225  6.50521  5.08399  3.34006  3.32244  3.31280  2.90405  6
        Y49	14.38872 12.90483 11.42458 10.60419 10.07425  9.42984  7.91766  5.78381  8
        Y49	10.80350  9.22649  8.18143  7.52237  6.03310  4.12617  3.97585  3.84594  6
        Y49	 8.25985  6.32630  5.78586  4.60926  2.90454  2.83444  2.81827  2.76727  7
        Y49	10.40535  8.33149  7.57923  6.08812  4.18546  4.17936  4.16527  3.79903  6
