        Y49	 0.02692  0.03492  0.11841  0.09470  0.05545  0.05185  0.31609  0.30166
        Y49	 0.05578  0.20067  0.00000  0.11294  0.09697  0.18001  0.13300  0.22063
        Y49	 0.00041  0.03191  0.10169  0.14246  0.10514  0.25398  0.26555  0.09886
        Y49	 0.01805  0.01858  0.03537  0.11113  0.09702  0.11104  0.23771  0.37109
        Y49	 0.03134  0.03896  0.05975  0.11456  0.03278  0.10848  0.08513  0.52900
        Y49	 0.02944  0.07774  0.15295  0.10525  0.24424  0.14761  0.09914  0.14364
        Y49	 0.01308  0.02445  0.03251  0.05376  0.08908  0.07483  0.11263  0.59966
        Y49	 0.02433  0.02517  0.09363  0.12691  0.10898  0.48803  0.11182  0.02113
        Y49	 0.03019  0.14606  0.08143  0.10001  0.13967  0.09742  0.33629  0.06892
        Y49	 0.03790  0.10401  0.12884  0.10902  0.21838  0.22485  0.10512  0.07186
